sample	condition	replicate	fastq_file
Lib1_70_25_S1	WT_SD	1	Lib1_70_25_S1_R1_001.fastq.gz
Lib2_70_25_S2	WT_SD	2	Lib2_70_25_S2_R1_001.fastq.gz
Lib3_70_25_S3	WT_SD	3	Lib3_70_25_S3_R1_001.fastq.gz
Lib4_70_25_S4	W8_WHFD	1	Lib4_70_25_S4_R1_001.fastq.gz
Lib5_70_25_S5	W8_WHFD	2	Lib5_70_25_S5_R1_001.fastq.gz
Lib6_70_25_S6	W8_WHFD	3	Lib6_70_25_S6_R1_001.fastq.gz
Lib7_70_25_S7	W18_WHFD	1	Lib7_70_25_S7_R1_001.fastq.gz
Lib8_70_25_S8	W18_WHFD	2	Lib8_70_25_S8_R1_001.fastq.gz
Lib9_70_25_S9	W18_WHFD	3	Lib9_70_25_S9_R1_001.fastq.gz
Lib10_70_25_S10	W24_WHFD	1	Lib10_70_25_S10_R1_001.fastq.gz
Lib11_70_25_S11	W24_WHFD	2	Lib11_70_25_S11_R1_001.fastq.gz
Lib12_70_25_S12	W24_WHFD	3	Lib12_70_25_S12_R1_001.fastq.gz
Lib13_70_25_S13	W42_WHFD	1	Lib13_70_25_S13_R1_001.fastq.gz
Lib14_70_25_S14	W42_WHFD	2	Lib14_70_25_S14_R1_001.fastq.gz
Lib15_70_25_S15	W42_WHFD	3	Lib15_70_25_S15_R1_001.fastq.gz
